district,season,monthly_rainfall
ADILABAD,kharif,853.3091228070176
ADILABAD,rabi,99.01535714285714
ADILABAD,zaid,51.71657894736842
AGAR-MALWA,kharif,1069.9
AGAR-MALWA,rabi,16.9
AGAR-MALWA,zaid,1.1
AGRA,kharif,656.0202631578948
AGRA,rabi,35.22026785714286
AGRA,zaid,27.01359649122807
AHMEDABAD,kharif,584.0484210526316
AHMEDABAD,rabi,26.987543859649122
AHMEDABAD,zaid,8.356902654867257
AHMEDNAGAR,kharif,692.8529824561404
AHMEDNAGAR,rabi,96.19035087719298
AHMEDNAGAR,zaid,39.08491228070176
AIZWAL,kharif,1809.853628318584
AIZWAL,rabi,258.13378378378377
AIZWAL,zaid,613.1850000000001
AJMER,kharif,487.1143859649123
AJMER,rabi,23.2375
AJMER,zaid,22.281929824561402
AKOLA,kharif,704.3183333333333
AKOLA,rabi,97.8151754385965
AKOLA,zaid,32.1480701754386
ALAPUZHA,kharif,1566.0666666666666
ALAPUZHA,rabi,559.0416666666666
ALAPUZHA,zaid,507.7083333333333
ALIGARH,kharif,590.4385087719298
ALIGARH,rabi,34.8751376146789
ALIGARH,zaid,37.807256637168145
ALIRAPUR,kharif,951.4799999999999
ALIRAPUR,rabi,45.62
ALIRAPUR,zaid,25.7
ALLAHABAD,kharif,901.1371929824561
ALLAHABAD,rabi,70.49732142857142
ALLAHABAD,zaid,45.10140350877193
ALMORA,kharif,948.5908771929825
ALMORA,rabi,75.76154545454546
ALMORA,zaid,102.45375
ALWAR,kharif,542.4778070175439
ALWAR,rabi,26.613928571428573
ALWAR,zaid,37.11763157894737
AMBALA,kharif,547.8392105263158
AMBALA,rabi,45.82245614035088
AMBALA,zaid,67.63
AMBEDKAR NAGAR,kharif,867.4687719298246
AMBEDKAR NAGAR,rabi,64.6436036036036
AMBEDKAR NAGAR,zaid,38.0787610619469
AMETHI,kharif,484.65
AMETHI,rabi,
AMETHI,zaid,16.2
AMRAOTI,kharif,749.7167543859649
AMRAOTI,rabi,91.82491228070177
AMRAOTI,zaid,33.23640350877193
AMRELI,kharif,631.8614912280702
AMRELI,rabi,31.253157894736844
AMRELI,zaid,10.776315789473685
AMRITSAR,kharif,372.86298245614034
AMRITSAR,rabi,37.76633928571429
AMRITSAR,zaid,70.64763157894737
ANAND,kharif,666.3131578947368
ANAND,rabi,27.902280701754385
ANAND,zaid,8.75157894736842
ANANTNAG,kharif,473.6598245614035
ANANTNAG,rabi,132.97359649122808
ANANTNAG,zaid,256.9895614035088
ANANTPUR,kharif,352.3838596491228
ANANTPUR,rabi,185.24228070175437
ANANTPUR,zaid,114.59052631578948
ANDAMAN,kharif,1775.2714285714285
ANDAMAN,rabi,602.5714285714286
ANDAMAN,zaid,529.2714285714286
ANGUL,kharif,1021.8329824561404
ANGUL,rabi,123.66053571428571
ANGUL,zaid,129.94649122807016
ANJAW,kharif,1026.2
ANJAW,rabi,132.4
ANJAW,zaid,1302.2
ANUPPUR,kharif,898.32
ANUPPUR,rabi,101.88
ANUPPUR,zaid,66.9
ARARIA,kharif,1144.0416666666667
ARARIA,rabi,106.47693693693694
ARARIA,zaid,146.54954954954954
ARAVALLI,kharif,883.5
ARAVALLI,rabi,40.8
ARAVALLI,zaid,0.0
ARIYALUR,kharif,318.8189622641509
ARIYALUR,rabi,437.7779807692308
ARIYALUR,zaid,117.7872641509434
ARWAL,kharif,700.6800000000001
ARWAL,rabi,59.620000000000005
ARWAL,zaid,53.32000000000001
ASHOKNAGAR,kharif,896.5200000000001
ASHOKNAGAR,rabi,66.32000000000001
ASHOKNAGAR,zaid,63.36
AURAIYA,kharif,709.0451327433628
AURAIYA,rabi,49.507009345794394
AURAIYA,zaid,25.326605504587157
AURANGABAD_BR,kharif,929.5913157894737
AURANGABAD_BR,rabi,88.40638888888888
AURANGABAD_BR,zaid,61.28916666666666
AURANGABAD_MH,kharif,556.2516666666667
AURANGABAD_MH,rabi,93.39271929824562
AURANGABAD_MH,zaid,30.298947368421054
AZAMGARH,kharif,870.3868421052632
AZAMGARH,rabi,66.56642201834862
AZAMGARH,zaid,40.887499999999996
BADAUN,kharif,671.3398245614036
BADAUN,rabi,45.169444444444444
BADAUN,zaid,40.20581818181819
BADGAM,kharif,544.6175925925926
BADGAM,rabi,132.43514018691587
BADGAM,zaid,246.63523364485982
BAGALKOTE,kharif,521.432456140351
BAGALKOTE,rabi,147.73377192982457
BAGALKOTE,zaid,111.91438596491228
BAGESHWAR,kharif,994.6606542056074
BAGESHWAR,rabi,94.95009523809524
BAGESHWAR,zaid,137.56794392523364
BAGHPAT,kharif,511.20394736842104
BAGHPAT,rabi,35.725779816513764
BAGHPAT,zaid,49.98424778761062
BAHRAICH,kharif,957.4013157894736
BAHRAICH,rabi,76.3318018018018
BAHRAICH,zaid,61.13508771929824
BAKSA,kharif,1355.02
BAKSA,rabi,77.22
BAKSA,zaid,555.6600000000001
BALAGHAT,kharif,1208.0393859649123
BALAGHAT,rabi,88.72157894736843
BALAGHAT,zaid,59.44210526315789
BALASORE,kharif,1127.915789473684
BALASORE,rabi,193.11080357142856
BALASORE,zaid,212.03350877192983
BALLARI,kharif,426.2872807017544
BALLARI,rabi,176.02254385964912
BALLARI,zaid,119.23026315789474
BALLIA,kharif,863.1298245614036
BALLIA,rabi,73.952
BALLIA,zaid,45.13455357142857
BALOD,kharif,1315.05
BALOD,rabi,101.75
BALOD,zaid,59.400000000000006
BALODA BAZAR,kharif,736.65
BALODA BAZAR,rabi,33.0
BALODA BAZAR,zaid,3.4
BALRAMPUR,kharif,990.2281578947368
BALRAMPUR,rabi,73.0248623853211
BALRAMPUR,zaid,52.16794642857143
BANASKANTHA,kharif,519.3405263157895
BANASKANTHA,rabi,17.2890350877193
BANASKANTHA,zaid,9.549122807017545
BANDA,kharif,946.937192982456
BANDA,rabi,68.20432432432433
BANDA,zaid,34.46830357142857
BANDIPORE,kharif,282.0
BANDIPORE,rabi,
BANDIPORE,zaid,
BANKA,kharif,1033.4466355140187
BANKA,rabi,105.7706603773585
BANKA,zaid,99.5811320754717
BANKURA,kharif,1112.0542105263157
BANKURA,rabi,123.84785714285715
BANKURA,zaid,179.41491228070174
BANSWARA,kharif,899.5240350877193
BANSWARA,rabi,31.049910714285716
BANSWARA,zaid,10.285087719298245
BARABANKI,kharif,816.4931578947369
BARABANKI,rabi,65.18788990825688
BARABANKI,zaid,37.298938053097345
BARAMULA,kharif,484.218596491228
BARAMULA,rabi,157.29885964912282
BARAMULA,zaid,310.5722807017544
BARAN,kharif,771.7591228070174
BARAN,rabi,42.14767857142857
BARAN,zaid,13.783070175438596
BAREILLY,kharif,788.0016666666667
BAREILLY,rabi,54.42053571428571
BAREILLY,zaid,50.931315789473686
BARGARH,kharif,1140.5847663551403
BARGARH,rabi,67.34533333333333
BARGARH,zaid,83.94289719626168
BARMER,kharif,267.8230701754386
BARMER,rabi,12.903660714285715
BARMER,zaid,12.695877192982456
BARNALA,kharif,237.48000000000002
BARNALA,rabi,18.5
BARNALA,zaid,50.025
BARPETA,kharif,1919.3514912280702
